latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.880768,-8.5372925,19.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),sunshine_duration (s),is_day (),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²)
2023-07-25T00:00,13.6,76,11.9,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-25T01:00,13.3,77,10.4,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-25T02:00,12.7,80,7.2,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-25T03:00,12.7,83,6.8,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-25T04:00,12.2,85,5.0,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-25T05:00,11.6,88,5.8,0.00,1,0.0,0.0,0.0,0.0,0.0
2023-07-25T06:00,12.5,83,2.9,2901.37,1,39.0,14.0,25.0,148.7,23.4
2023-07-25T07:00,13.4,78,2.9,3600.00,1,152.0,77.0,75.0,323.4,89.0
2023-07-25T08:00,14.8,71,2.9,3600.00,1,297.0,191.0,106.0,491.3,244.1
2023-07-25T09:00,16.2,59,4.0,3600.00,1,455.0,331.0,124.0,623.4,439.3
2023-07-25T10:00,17.1,56,4.0,0.00,1,321.0,37.0,284.0,56.5,303.9
2023-07-25T11:00,17.6,54,2.2,0.00,1,215.0,1.0,214.0,1.3,199.7
2023-07-25T12:00,18.3,54,3.2,0.00,1,312.0,17.0,295.0,20.8,293.9
2023-07-25T13:00,18.1,59,10.4,0.00,1,205.0,0.0,205.0,0.0,190.2
2023-07-25T14:00,17.4,65,11.2,0.00,1,227.0,3.0,224.0,3.6,211.4
2023-07-25T15:00,17.4,64,10.1,0.00,1,226.0,3.0,223.0,3.9,210.4
2023-07-25T16:00,17.9,62,11.2,0.00,1,159.0,0.0,159.0,0.0,147.5
2023-07-25T17:00,17.7,64,13.0,0.00,1,134.0,0.0,134.0,0.0,124.3
2023-07-25T18:00,17.5,65,10.1,0.00,1,132.0,24.0,108.0,54.6,120.8
2023-07-25T19:00,17.2,68,11.9,3600.00,1,162.0,114.0,48.0,392.3,101.0
2023-07-25T20:00,16.1,76,11.9,993.24,1,53.0,13.0,40.0,93.1,37.3
2023-07-25T21:00,14.5,85,9.7,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-25T22:00,12.7,92,3.2,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-25T23:00,13.3,89,5.4,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-26T00:00,13.4,90,5.8,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-26T01:00,14.0,91,4.7,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-26T02:00,14.5,92,8.3,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-26T03:00,14.6,93,6.8,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-26T04:00,14.7,94,6.5,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-26T05:00,14.4,92,7.9,0.00,1,0.0,0.0,0.0,0.0,0.0
2023-07-26T06:00,14.4,99,8.6,0.00,1,12.0,0.0,12.0,0.0,11.1
2023-07-26T07:00,15.7,96,11.5,0.00,1,29.0,0.0,29.0,0.0,26.9
2023-07-26T08:00,16.3,92,12.2,0.00,1,49.0,0.0,49.0,0.0,45.5
2023-07-26T09:00,16.3,94,15.5,0.00,1,24.0,0.0,24.0,0.0,22.3
2023-07-26T10:00,16.3,92,16.2,0.00,1,81.0,0.0,81.0,0.0,75.1
2023-07-26T11:00,16.5,88,15.5,0.00,1,69.0,0.0,69.0,0.0,64.0
2023-07-26T12:00,16.1,94,14.8,0.00,1,69.0,0.0,69.0,0.0,64.0
2023-07-26T13:00,16.4,94,23.0,0.00,1,107.0,0.0,107.0,0.0,99.3
2023-07-26T14:00,16.6,95,22.0,0.00,1,54.0,0.0,54.0,0.0,50.1
2023-07-26T15:00,16.8,94,24.8,0.00,1,111.0,0.0,111.0,0.0,103.0
2023-07-26T16:00,17.4,92,25.2,0.00,1,93.0,1.0,92.0,1.4,86.5
2023-07-26T17:00,18.1,87,22.7,0.00,1,73.0,1.0,72.0,1.7,67.8
2023-07-26T18:00,17.7,92,18.0,0.00,1,30.0,0.0,30.0,0.0,27.8
2023-07-26T19:00,17.7,92,18.7,0.00,1,30.0,3.0,27.0,10.4,26.5
2023-07-26T20:00,17.5,92,20.2,0.00,1,24.0,4.0,20.0,29.3,18.6
2023-07-26T21:00,17.3,92,18.7,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-26T22:00,17.7,86,17.3,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-26T23:00,17.2,90,14.4,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-27T00:00,17.0,90,14.0,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-27T01:00,17.0,90,11.9,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-27T02:00,16.8,89,12.2,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-27T03:00,16.5,88,8.6,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-27T04:00,16.2,88,8.6,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-27T05:00,15.1,93,9.0,0.00,1,1.0,0.0,1.0,0.0,0.0
2023-07-27T06:00,15.4,91,9.4,1088.38,1,32.0,8.0,24.0,87.6,22.4
2023-07-27T07:00,15.9,91,8.6,2332.82,1,100.0,32.0,68.0,137.8,71.0
2023-07-27T08:00,17.6,83,12.2,3600.00,1,248.0,157.0,91.0,409.6,205.2
2023-07-27T09:00,18.4,79,11.9,3600.00,1,212.0,96.0,116.0,182.5,202.4
2023-07-27T10:00,19.0,77,11.2,0.00,1,248.0,36.0,212.0,55.4,236.2
2023-07-27T11:00,19.7,71,13.3,0.00,1,294.0,18.0,276.0,24.1,276.9
2023-07-27T12:00,20.4,67,11.2,3600.00,1,449.0,150.0,299.0,184.6,456.6
2023-07-27T13:00,21.5,60,13.3,3600.00,1,656.0,340.0,316.0,405.1,703.7
2023-07-27T14:00,22.2,56,16.2,3600.00,1,431.0,156.0,275.0,188.8,442.6
2023-07-27T15:00,22.1,56,11.9,1607.33,1,394.0,88.0,306.0,113.6,387.4
2023-07-27T16:00,21.7,59,11.9,0.00,1,289.0,30.0,259.0,43.6,274.1
2023-07-27T17:00,21.6,59,12.2,3600.00,1,367.0,189.0,178.0,330.5,360.9
2023-07-27T18:00,21.4,60,14.0,2136.56,1,217.0,57.0,160.0,131.2,197.8
2023-07-27T19:00,19.6,66,17.3,95.79,1,127.0,18.0,109.0,63.2,110.1
2023-07-27T20:00,18.1,70,15.8,0.00,1,31.0,2.0,29.0,15.0,26.9
2023-07-27T21:00,17.0,74,9.7,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-27T22:00,15.3,78,11.2,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-27T23:00,14.1,85,9.4,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-28T00:00,13.8,87,6.5,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-28T01:00,14.2,86,9.4,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-28T02:00,14.0,89,10.1,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-28T03:00,14.2,92,8.6,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-28T04:00,14.1,91,8.6,0.00,0,0.0,0.0,0.0,0.0,0.0
2023-07-28T05:00,13.6,92,9.7,0.00,1,0.0,0.0,0.0,0.0,0.0
2023-07-28T06:00,14.2,92,10.1,0.00,1,8.0,0.0,8.0,0.0,7.4
2023-07-28T07:00,14.6,93,10.4,0.00,1,20.0,0.0,20.0,0.0,18.6
2023-07-28T08:00,15.4,87,8.6,0.00,1,82.0,0.0,82.0,0.0,76.1
2023-07-28T09:00,16.9,72,14.4,1066.11,1,221.0,50.0,171.0,95.5,208.2
2023-07-28T10:00,17.7,67,16.2,3600.00,1,464.0,168.0,296.0,259.3,459.9
2023-07-28T11:00,18.1,65,19.8,3600.00,1,476.0,318.0,158.0,426.4,517.1
