latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.0,-8.5,19.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),sunshine_duration (s),is_day (),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),shortwave_radiation (W/m²)
2023-07-25T00:00,13.6,76,11.9,0.00,0,0.0,0.0,0.0,0.0
2023-07-25T01:00,13.3,77,10.4,0.00,0,0.0,0.0,0.0,0.0
2023-07-25T02:00,12.7,80,7.2,0.00,0,0.0,0.0,0.0,0.0
2023-07-25T03:00,12.7,83,6.8,0.00,0,0.0,0.0,0.0,0.0
2023-07-25T04:00,12.2,85,5.0,0.00,0,0.0,0.0,0.0,0.0
2023-07-25T05:00,11.6,88,5.8,0.00,1,0.0,0.0,0.0,0.0
2023-07-25T06:00,12.5,83,2.9,2901.37,1,14.0,25.0,148.7,39.0
2023-07-25T07:00,13.4,78,2.9,3600.00,1,77.0,75.0,323.4,152.0
2023-07-25T08:00,14.8,71,2.9,3600.00,1,191.0,106.0,491.3,297.0
2023-07-25T09:00,16.2,59,4.0,3600.00,1,331.0,124.0,623.4,455.0
2023-07-25T10:00,17.1,56,4.0,0.00,1,37.0,284.0,56.5,321.0
2023-07-25T11:00,17.6,54,2.2,0.00,1,1.0,214.0,1.3,215.0
2023-07-25T12:00,18.3,54,3.2,0.00,1,17.0,295.0,20.8,312.0
2023-07-25T13:00,18.1,59,10.4,0.00,1,0.0,205.0,0.0,205.0
2023-07-25T14:00,17.4,65,11.2,0.00,1,3.0,224.0,3.6,227.0
2023-07-25T15:00,17.4,64,10.1,0.00,1,3.0,223.0,3.9,226.0
2023-07-25T16:00,17.9,62,11.2,0.00,1,0.0,159.0,0.0,159.0
2023-07-25T17:00,17.7,64,13.0,0.00,1,0.0,134.0,0.0,134.0
2023-07-25T18:00,17.5,65,10.1,0.00,1,24.0,108.0,54.6,132.0
2023-07-25T19:00,17.2,68,11.9,3600.00,1,114.0,48.0,392.3,162.0
2023-07-25T20:00,16.1,76,11.9,993.24,1,13.0,40.0,93.1,53.0
2023-07-25T21:00,14.5,85,9.7,0.00,0,0.0,0.0,0.0,0.0
2023-07-25T22:00,12.7,92,3.2,0.00,0,0.0,0.0,0.0,0.0
2023-07-25T23:00,13.3,89,5.4,0.00,0,0.0,0.0,0.0,0.0
2023-07-26T00:00,13.4,90,5.8,0.00,0,0.0,0.0,0.0,0.0
2023-07-26T01:00,14.0,91,4.7,0.00,0,0.0,0.0,0.0,0.0
